df1_index,df2_index,Song Name (df1),Artist (df1),Song Name (df2),Artist (df2)
1134,2337,Barefoot Blue Jean Night,Jake Owen,All About Us,He Is We
1135,2337,The Edge Of Glory,Lady Gaga,All About Us,He Is We
1136,1133,How To Love,Lil Wayne,Love It If We Made It,The 1975
1137,2337,Moment 4 Life,Nicki Minaj Featuring Drake,All About Us,He Is We
1138,2337,Sure Thing,Miguel,All About Us,He Is We
1139,1275,I'm On One,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",I'm the One,DJ Khaled
1140,1809,Last Friday Night (T.G.I.F.),Katy Perry,Last Friday Night (T.G.I.F.),Katy Perry
1141,2337,Take A Back Road,Rodney Atkins,All About Us,He Is We
1142,2337,God Gave Me You,Blake Shelton,All About Us,He Is We
1143,1914,You Make Me Feel...,Cobra Starship Featuring Sabi,You Make Me Feel... (feat. Sabi),Cobra Starship
1144,2337,Tonight (I'm Lovin' You),Enrique Iglesias Featuring Ludacris & DJ Frank E,All About Us,He Is We
1145,2337,Roll Up,Wiz Khalifa,All About Us,He Is We
1146,2337,Lighters,Bad Meets Evil Featuring Bruno Mars,All About Us,He Is We
1147,2337,6 Foot 7 Foot,Lil Wayne Featuring Cory Gunz,All About Us,He Is We
1148,2337,Coming Home,Diddy - Dirty Money Featuring Skylar Grey,All About Us,He Is We
1149,386,More,Usher,Now & Forever (feat. SONPUB & 向井太一),香取慎吾
1150,2337,A Little Bit Stronger,Sara Evans,All About Us,He Is We
1151,2337,Tomorrow,Chris Young,All About Us,He Is We
1152,386,My Last,Big Sean Featuring Chris Brown,Now & Forever (feat. SONPUB & 向井太一),香取慎吾
1153,2337,Homeboy,Eric Church,All About Us,He Is We
1154,2337,Country Must Be Country Wide,Brantley Gilbert,All About Us,He Is We
1155,2337,Easy,Rascal Flatts Featuring Natasha Bedingfield,All About Us,He Is We
1156,1269,Raise Your Glass,P!nk,So What,P!nk
1157,1599,Hey Baby (Drop It To The Floor),Pitbull Featuring T-Pain,Give Me Everything,Pitbull
1158,2337,Jar Of Hearts,Christina Perri,All About Us,He Is We
1159,2337,What Do You Want,Jerrod Niemann,All About Us,He Is We
1160,2337,Are You Gonna Kiss Me Or Not,Thompson Square,All About Us,He Is We
1161,1813,What The Hell,Avril Lavigne,What the Hell,Avril Lavigne
1162,2337,Colder Weather,Zac Brown Band,All About Us,He Is We
1163,2337,I Need A Doctor,Dr. Dre Featuring Eminem & Skylar Grey,All About Us,He Is We
1164,2322,Price Tag,Jessie J Featuring B.o.B,Price Tag,Jessie J
1165,2337,The Cave,Mumford & Sons,All About Us,He Is We
1166,2337,Born This Way,Lady Gaga,All About Us,He Is We
1167,2337,Heart Like Mine,Miranda Lambert,All About Us,He Is We
1168,2337,Backseat,New Boyz Featuring The Cataracs & Dev,All About Us,He Is We
1169,2337,Written In The Stars,Tinie Tempah Featuring Eric Turner,All About Us,He Is We
1170,2337,You Lie,The Band Perry,All About Us,He Is We
1171,1502,Who Says,Selena Gomez & The Scene,Who Says,Selena Gomez & The Scene
1172,1133,Best Love Song,T-Pain Featuring Chris Brown,Love It If We Made It,The 1975
1173,2337,John,Lil Wayne Featuring Rick Ross,All About Us,He Is We
1174,2337,If Heaven Wasn't So Far Away,Justin Moore,All About Us,He Is We
1175,2337,I Wanna Go,Britney Spears,All About Us,He Is We
1176,2337,Honey Bee,Blake Shelton,All About Us,He Is We
1177,2337,Hello,Martin Solveig & Dragonette,All About Us,He Is We
1178,2337,Old Alabama,Brad Paisley Featuring Alabama,All About Us,He Is We
1179,2337,She Ain't You,Chris Brown,All About Us,He Is We
1180,2337,Country Girl (Shake It For Me),Luke Bryan,All About Us,He Is We
1181,2337,Where Them Girls At,David Guetta Featuring Flo Rida & Nicki Minaj,All About Us,He Is We
1182,386,Am I The Only One,Dierks Bentley,Now & Forever (feat. SONPUB & 向井太一),香取慎吾
1183,2337,Knee Deep,Zac Brown Band Featuring Jimmy Buffett,All About Us,He Is We
1184,165,You And I,Lady Gaga,Poker Face,Lady Gaga
1185,2337,You And Tequila,Kenny Chesney Featuring Grace Potter,All About Us,He Is We
1186,2337,Best Thing I Never Had,Beyonce,All About Us,He Is We
1187,2337,Keep Your Head Up,Andy Grammer,All About Us,He Is We
1188,2337,Just Fishin',Trace Adkins,All About Us,He Is We
1189,2337,Remind Me,Brad Paisley Duet With Carrie Underwood,All About Us,He Is We
1190,2337,Made In America,Toby Keith,All About Us,He Is We
1191,2337,Take Over Control,Afrojack Featuring Eva Simons,All About Us,He Is We
1192,2337,Here For A Good Time,George Strait,All About Us,He Is We
1193,2337,Mr. Saxobeat,Alexandra Stan,All About Us,He Is We
1194,2337,Otis,Jay Z Kanye West Featuring Otis Redding,All About Us,He Is We
1195,2337,Marvin & Chardonnay,Big Sean Featuring Kanye West & Roscoe Dash,All About Us,He Is We
1196,2337,In The Dark,Dev,All About Us,He Is We
1197,1890,Dynamite,Taio Cruz,Dynamite,Taio Cruz
1198,2337,Pretty Girl Rock,Keri Hilson,All About Us,He Is We
1199,386,This,Darius Rucker,Now & Forever (feat. SONPUB & 向井太一),香取慎吾
1200,2337,Lights,Ellie Goulding,All About Us,He Is We
1201,1765,Somebody That I Used To Know,Gotye Featuring Kimbra,Somebody That I Used To Know,Gotye
1202,2337,I Won't Give Up,Jason Mraz,All About Us,He Is We
1203,118,Call Me Maybe,Carly Rae Jepsen,Now That I Found You,Carly Rae Jepsen
1204,1940,Some Nights,fun.,Some Nights,fun.
1205,2167,We Are Young,fun. Featuring Janelle Monae,We Are Young (feat. Janelle Monáe),fun.
1206,1942,Everybody Talks,Neon Trees,Everybody Talks,Neon Trees
1207,2337,Too Close,Alex Clare,All About Us,He Is We
1208,1424,Glad You Came,The Wanted,Glad You Came,The Wanted
1209,2337,Wild Ones,Flo Rida Featuring Sia,All About Us,He Is We
1210,2337,Drive By,Train,All About Us,He Is We
1211,1418,Stronger (What Doesn't Kill You),Kelly Clarkson,Stronger (What Doesn't Kill You),Kelly Clarkson
1212,2090,What Makes You Beautiful,One Direction,What Makes You Beautiful,One Direction
1213,2337,Wanted,Hunter Hayes,All About Us,He Is We
1214,2337,Mercy,"Kanye West, Big Sean, Pusha T, 2 Chainz",All About Us,He Is We
1215,1520,Give Your Heart A Break,Demi Lovato,Can't Back Down,Demi Lovato
1216,158,Titanium,David Guetta Featuring Sia,Titanium (feat. Sia),David Guetta
1217,1600,Starships,Nicki Minaj,Starships,Nicki Minaj
1218,1286,Payphone,Maroon 5 Featuring Wiz Khalifa,Payphone,Maroon 5
1219,2337,The Motto,Drake Featuring Lil Wayne,All About Us,He Is We
1220,2314,Little Talks,Of Monsters And Men,Little Talks,Of Monsters and Men
1221,1923,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,Party Rock Anthem,LMFAO
1222,2337,Take Care,Drake Featuring Rihanna,All About Us,He Is We
1223,2337,Whistle,Flo Rida,All About Us,He Is We
1224,166,We Found Love,Rihanna Featuring Calvin Harris,How Deep Is Your Love,Calvin Harris
1225,2337,Ho Hey,The Lumineers,All About Us,He Is We
1226,1604,It's Time,Imagine Dragons,It's Time,Imagine Dragons
1227,1264,Set Fire To The Rain,Adele,Set Fire to the Rain,Adele
1228,2337,Sexy And I Know It,LMFAO,All About Us,He Is We
1229,2337,Feel So Close,Calvin Harris,All About Us,He Is We
1230,2337,Heart Attack,Trey Songz,All About Us,He Is We
1231,2337,No Lie,2 Chainz Featuring Drake,All About Us,He Is We
1232,2319,Wide Awake,Katy Perry,Part Of Me,Katy Perry
1233,1133,As Long As You Love Me,Justin Bieber Featuring Big Sean,Love It If We Made It,The 1975
1234,2315,One More Night,Maroon 5,One More Night,Maroon 5
1235,1881,Good Feeling,Flo Rida,Good Feeling,Flo Rida
1236,1133,Time Is Love,Josh Turner,Love It If We Made It,The 1975
1237,386,Where Have You Been,Rihanna,Now & Forever (feat. SONPUB & 向井太一),香取慎吾
1238,2337,Home,Phillip Phillips,All About Us,He Is We
1239,2337,Don't Wake Me Up,Chris Brown,All About Us,He Is We
1240,2321,Turn Me On,David Guetta Featuring Nicki Minaj,Turn Me On (feat. Nicki Minaj),David Guetta
1241,118,Good Time,Owl City & Carly Rae Jepsen,Now That I Found You,Carly Rae Jepsen
1242,1269,Blow Me (One Last Kiss),P!nk,So What,P!nk
1243,1922,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5
1244,2337,You Don't Know Her Like I Do,Brantley Gilbert,All About Us,He Is We
1245,2337,Drunk On You,Luke Bryan,All About Us,He Is We
1246,2337,Burn It Down,Linkin Park,All About Us,He Is We
1247,1133,Hard To Love,Lee Brice,Love It If We Made It,The 1975
1248,1151,Thinkin Bout You,Frank Ocean,Thinkin Bout You,Frank Ocean
1249,2337,The A Team,Ed Sheeran,All About Us,He Is We
1250,1065,"Young, Wild & Free",Snoop Dogg & Wiz Khalifa Featuring Bruno Mars,Free! Free! Free!,竹内アンナ
1251,2337,Ass Back Home,Gym Class Heroes Featuring Neon Hitch,All About Us,He Is We
1252,2337,Faded,Tyga Featuring Lil Wayne,All About Us,He Is We
1253,2337,Drank In My Cup,Kirko Bangz,All About Us,He Is We
1254,6,Part Of Me,Katy Perry,Never Really Over - R3HAB Remix,Katy Perry
1255,2337,Springsteen,Eric Church,All About Us,He Is We
1256,2337,Brokenhearted,Karmin,All About Us,He Is We
1257,1599,We Run The Night,Havana Brown Featuring Pitbull,Give Me Everything,Pitbull
1258,2337,Blown Away,Carrie Underwood,All About Us,He Is We
1259,2337,Why Ya Wanna,Jana Kramer,All About Us,He Is We
1260,2337,Cowboys And Angels,Dustin Lynch,All About Us,He Is We
1261,2337,Pop That,"French Montana Featuring Rick Ross, Drake, Lil Wayne",All About Us,He Is We
1262,2337,Rack City,Tyga,All About Us,He Is We
1263,1639,Rumour Has It,Adele,The Rumour,You Me At Six
1264,2337,Scream,Usher,All About Us,He Is We
1265,2337,Somethin' 'Bout A Truck,Kip Moore,All About Us,He Is We
1266,2337,Turn Up The Music,Chris Brown,All About Us,He Is We
1267,159,Bangarang,Skrillex Featuring Sirah,Where Are Ü Now,Skrillex
1268,2337,Good Girl,Carrie Underwood,All About Us,He Is We
1269,2337,Birthday Cake,Rihanna Featuring Chris Brown,All About Us,He Is We
1270,2337,Climax,Usher,All About Us,He Is We
1271,2337,Fly Over States,Jason Aldean,All About Us,He Is We
1272,386,UP!,LoveRance Featuring IamSu & Skipper or 50 Cent,Now & Forever (feat. SONPUB & 向井太一),香取慎吾
1273,1085,Midnight City,M83.,Midnight City,M83
1274,1628,One Thing,One Direction,There’s No Such Thing As Accidental Infidelity,You Me At Six
1275,2337,Even If It Breaks Your Heart,Eli Young Band,All About Us,He Is We
1276,2337,Leave You Alone,Young Jeezy Featuring Ne-Yo,All About Us,He Is We
1277,1133,Crew Love,Drake Featuring The Weeknd,Love It If We Made It,The 1975
1278,2337,Boyfriend,Justin Bieber,All About Us,He Is We
1279,1599,Back In Time,Pitbull,Give Me Everything,Pitbull
1280,2337,Take It To The Head,"DJ Khaled Featuring Chris Brown, Rick Ross, Nicki Minaj & Lil Wayne",All About Us,He Is We
1281,2337,Beez In The Trap,Nicki Minaj Featuring 2 Chainz,All About Us,He Is We
1282,2337,(Kissed You) Good Night,Gloriana,All About Us,He Is We
1283,2337,Cashin' Out,Ca$h Out,All About Us,He Is We
1284,2337,"Work Hard, Play Hard",Wiz Khalifa,All About Us,He Is We
1285,2337,Let's Go,Calvin Harris Featuring Ne-Yo,All About Us,He Is We
1286,386,5-1-5-0,Dierks Bentley,Now & Forever (feat. SONPUB & 向井太一),香取慎吾
1287,2337,Lemme See,Usher Featuring Rick Ross,All About Us,He Is We
1288,2337,Come Over,Kenny Chesney,All About Us,He Is We
1289,2337,Angel Eyes,Love And Theft,All About Us,He Is We
1290,2337,Pontoon,Little Big Town,All About Us,He Is We
1291,2069,Want U Back,Cher Lloyd,Want U Back,Cher Lloyd
1292,2337,Lovin' You Is Fun,Easton Corbin,All About Us,He Is We
1293,2337,2 Reasons,Trey Songz Featuring T.I.,All About Us,He Is We
1294,2337,50 Ways To Say Goodbye,Train,All About Us,He Is We
1295,2337,Take A Little Ride,Jason Aldean,All About Us,He Is We
1296,2337,Come Wake Me Up,Rascal Flatts,All About Us,He Is We
1297,2337,Adorn,Miguel,All About Us,He Is We
1298,148,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo
1299,1815,Domino,Jessie J,Domino,Jessie J
1300,1282,Radioactive,Imagine Dragons,Radioactive,Imagine Dragons
1301,2337,Sail,AWOLNATION,All About Us,He Is We
1302,2337,Cups (Pitch Perfect's When I'm Gone),Anna Kendrick,All About Us,He Is We
1303,1277,Mirrors,Justin Timberlake,Mirrors,Justin Timberlake
1304,2337,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,All About Us,He Is We
1305,2337,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,All About Us,He Is We
1306,1941,Cruise,Florida Georgia Line Featuring Nelly,Cruise,Florida Georgia Line
1307,1251,Just Give Me A Reason,P!nk Featuring Nate Ruess,Just Give Me a Reason (feat. Nate Ruess),P!nk
1308,2174,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,Blurred Lines,Robin Thicke
1309,2337,Ho Hey,The Lumineers,All About Us,He Is We
1310,2337,When I Was Your Man,Bruno Mars,All About Us,He Is We
1311,1594,Demons,Imagine Dragons,Demons,Imagine Dragons
1312,135,Clarity,Zedd Featuring Foxes,Clarity,Zedd
1313,1593,Safe And Sound,Capital Cities,Safe And Sound,Capital Cities
1314,2337,Stay,Rihanna Featuring Mikky Ekko,All About Us,He Is We
1315,1133,Same Love,Macklemore & Ryan Lewis Featuring Mary Lambert,Love It If We Made It,The 1975
1316,2337,"Gone, Gone, Gone",Phillip Phillips,All About Us,He Is We
1317,1133,I Love It,Icona Pop Featuring Charli XCX,Love It If We Made It,The 1975
1318,2337,Power Trip,J. Cole Featuring Miguel,All About Us,He Is We
1319,604,Get Lucky,Daft Punk Featuring Pharrell Williams,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk
1320,1811,I Knew You Were Trouble.,Taylor Swift,22,Taylor Swift
1321,2337,Brave,Sara Bareilles,All About Us,He Is We
1322,2337,HeadBand,B.o.B Featuring 2 Chainz,All About Us,He Is We
1323,2337,Sweater Weather,The Neighbourhood,All About Us,He Is We
1324,2337,Suit & Tie,Justin Timberlake Featuring JAY Z,All About Us,He Is We
1325,2337,Wagon Wheel,Darius Rucker,All About Us,He Is We
1326,1878,My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,Alone Together,Fall Out Boy
1327,2337,Bad,Wale Featuring Tiara Thomas Or Rihanna,All About Us,He Is We
1328,2337,The Way,Ariana Grande Featuring Mac Miller,All About Us,He Is We
1329,1227,We Can't Stop,Miley Cyrus,We Can't Stop,Miley Cyrus
1330,525,Counting Stars,OneRepublic,Counting Stars,OneRepublic
1331,2337,Locked Out Of Heaven,Bruno Mars,All About Us,He Is We
1332,1133,I Need Your Love,Calvin Harris Featuring Ellie Goulding,Love It If We Made It,The 1975
1333,156,Wake Me Up!,Avicii,Wake Me Up,Avicii
1334,1599,Feel This Moment,Pitbull Featuring Christina Aguilera,Give Me Everything,Pitbull
1335,1080,Royals,Lorde,Royals,Lorde
1336,2337,Daylight,Maroon 5,All About Us,He Is We
1337,2337,Treasure,Bruno Mars,All About Us,He Is We
1338,2337,Holy Grail,Jay Z Featuring Justin Timberlake,All About Us,He Is We
1339,2337,Summertime Sadness,Lana Del Rey vs. Cedric Gervais,All About Us,He Is We
1340,1133,Love Me,Lil Wayne Featuring Drake & Future,Love It If We Made It,The 1975
1341,2337,Started From The Bottom,Drake,All About Us,He Is We
1342,2270,Come & Get It,Selena Gomez,Come & Get It,Selena Gomez
1343,2337,It Goes Like This,Thomas Rhett,All About Us,He Is We
1344,2337,Scream & Shout,will.i.am & Britney Spears,All About Us,He Is We
1345,1231,Sweet Nothing,Calvin Harris Featuring Florence Welch,Sweet Nothing (feat. Florence Welch),Calvin Harris
1346,2337,"Bitch, Don't Kill My Vibe",Kendrick Lamar,All About Us,He Is We
1347,2337,Boys 'round Here,Blake Shelton Featuring Pistol Annies & Friends,All About Us,He Is We
1348,2337,Crash My Party,Luke Bryan,All About Us,He Is We
1349,386,The Other Side,Jason Derulo,Now & Forever (feat. SONPUB & 向井太一),香取慎吾
1350,1550,Young And Beautiful,Lana Del Rey,Young And Beautiful,Lana Del Rey
1351,2337,Hey Girl,Billy Currington,All About Us,He Is We
1352,1133,Love Somebody,Maroon 5,Love It If We Made It,The 1975
1353,1133,Love More,Chris Brown Featuring Nicki Minaj,Love It If We Made It,The 1975
1354,2337,Gas Pedal,Sage The Gemini Featuring IamSu!,All About Us,He Is We
1355,162,Don't You Worry Child,Swedish House Mafia Featuring John Martin,Don't You Worry Child - Radio Edit,Swedish House Mafia
1356,2337,F**kin Problems,"A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar",All About Us,He Is We
1357,2337,I Will Wait,Mumford & Sons,All About Us,He Is We
1358,2337,Pour It Up,Rihanna,All About Us,He Is We
1359,2337,I Drive Your Truck,Lee Brice,All About Us,He Is We
1360,2337,Carry On,fun.,All About Us,He Is We
1361,2337,Sure Be Cool If You Did,Blake Shelton,All About Us,He Is We
1362,2337,We Still In This B****,B.o.B Featuring T.I. & Juicy J,All About Us,He Is We
1363,1471,Troublemaker,Olly Murs Featuring Flo Rida,Up,Olly Murs
1364,2337,Mama's Broken Heart,Miranda Lambert,All About Us,He Is We
1365,2337,Get Your Shine On,Florida Georgia Line,All About Us,He Is We
1366,2337,Loveeeeeee Song,Rihanna Featuring Future,All About Us,He Is We
1367,2337,Downtown,Lady Antebellum,All About Us,He Is We
1368,1811,Highway Don't Care,Tim McGraw With Taylor Swift,22,Taylor Swift
1369,2337,Harlem Shake,Baauer,All About Us,He Is We
1370,2337,Bugatti,Ace Hood Featuring Future & Rick Ross,All About Us,He Is We
1371,1746,Alive,Krewella,Alive,Krewella
1372,386,Next To Me,Emeli Sande,Now & Forever (feat. SONPUB & 向井太一),香取慎吾
1373,1520,Heart Attack,Demi Lovato,Can't Back Down,Demi Lovato
1374,2337,Beat This Summer,Brad Paisley,All About Us,He Is We
1375,386,DONE.,The Band Perry,Now & Forever (feat. SONPUB & 向井太一),香取慎吾
1376,2337,Rich As F**k,Lil Wayne Featuring 2 Chainz,All About Us,He Is We
1377,386,Anywhere With You,Jake Owen,Now & Forever (feat. SONPUB & 向井太一),香取慎吾
1378,2337,Hey Pretty Girl,Kip Moore,All About Us,He Is We
1379,2337,I Want Crazy,Hunter Hayes,All About Us,He Is We
1380,386,Still Into You,Paramore,Now & Forever (feat. SONPUB & 向井太一),香取慎吾
1381,2337,U.O.E.N.O.,Rocko Featuring Future & Rick Ross,All About Us,He Is We
1382,2337,How Many Drinks?,Miguel,All About Us,He Is We
1383,2337,Body Party,Ciara,All About Us,He Is We
1384,386,See You Again,Carrie Underwood,Now & Forever (feat. SONPUB & 向井太一),香取慎吾
1385,2337,Runnin' Outta Moonlight,Randy Houser,All About Us,He Is We
1386,2337,All Over The Road,Easton Corbin,All About Us,He Is We
1387,2337,Tapout,"Rich Gang Featuring Lil Wayne, Birdman, Future, Mack Maine, Nicki Minaj",All About Us,He Is We
1388,2337,Little Bit Of Everything,Keith Urban,All About Us,He Is We
1389,2337,Don't Ya,Brett Eldredge,All About Us,He Is We
1390,2337,Redneck Crazy,Tyler Farr,All About Us,He Is We
1391,2337,Round Here,Florida Georgia Line,All About Us,He Is We
1392,2337,Crooked Smile,J. Cole Featuring TLC,All About Us,He Is We
1393,2337,Parking Lot Party,Lee Brice,All About Us,He Is We
1394,2337,Beware,Big Sean Featuring Lil Wayne & Jhene Aiko,All About Us,He Is We
1395,2337,Tom Ford,JAY-Z,All About Us,He Is We
1396,2337,Red Nose,Sage The Gemini,All About Us,He Is We
1397,2337,Aw Naw,Chris Young,All About Us,He Is We
1398,2337,Type Of Way,Rich Homie Quan,All About Us,He Is We
1399,2337,Southern Girl,Tim McGraw,All About Us,He Is We
1400,386,All Of Me,John Legend,Now & Forever (feat. SONPUB & 向井太一),香取慎吾
1401,2335,Happy,Pharrell Williams,"Happy - From ""Despicable Me 2""",Pharrell Williams
1402,1724,Dark Horse,Katy Perry Featuring Juicy J,Dark Horse,Katy Perry
1403,525,Counting Stars,OneRepublic,Counting Stars,OneRepublic
1404,2212,Fancy,Iggy Azalea Featuring Charli XCX,Fancy,Iggy Azalea
1405,2337,Turn Down For What,DJ Snake & Lil Jon,All About Us,He Is We
1406,2337,Loyal,Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga,All About Us,He Is We
1407,2337,Stay With Me,Sam Smith,All About Us,He Is We
1408,1603,Pompeii,Bastille,Pompeii,Bastille
1409,1249,Rude,MAGIC!,Rude,MAGIC!
1410,2337,Talk Dirty,Jason Derulo Featuring 2 Chainz,All About Us,He Is We
1411,152,Latch,Disclosure Featuring Sam Smith,Latch,Disclosure
1412,1221,Chandelier,Sia,Chandelier,Sia
1413,1777,Best Day Of My Life,American Authors,Best Day Of My Life,American Authors
1414,2337,Am I Wrong,Nico & Vinz,All About Us,He Is We
1415,1769,Let It Go,Idina Menzel,"Let It Go - From ""Frozen""/Soundtrack Version",Idina Menzel
1416,2337,Bailando,Enrique Iglesias Featuring Descemer Bueno & Gente de Zona,All About Us,He Is We
1417,1256,Timber,Pitbull Featuring Ke$ha,Timber (feat. Ke$ha),Pitbull
1418,1602,Habits (Stay High),Tove Lo,Habits (Stay High) - The Chainsmokers Extended Mix,Tove Lo
1419,2327,Trumpets,Jason Derulo,Trumpets,Jason Derulo
1420,156,Wake Me Up!,Avicii,Wake Me Up,Avicii
1421,2337,Na Na,Trey Songz,All About Us,He Is We
1422,1594,Demons,Imagine Dragons,Demons,Imagine Dragons
1423,2337,This Is How We Roll,Florida Georgia Line Ft. Jason Derulo & Luke Bryan,All About Us,He Is We
1424,1443,Classic,MKTO,Classic,MKTO
1425,0,Don't,Ed Sheeran,I Don't Care (with Justin Bieber) - Loud Luxury Remix,Ed Sheeran
1426,136,Rather Be,Clean Bandit Featuring Jess Glynne,Solo (feat. Demi Lovato),Clean Bandit
1427,2337,Team,Lorde,All About Us,He Is We
1428,2337,Summer,Calvin Harris,All About Us,He Is We
1429,517,A Sky Full Of Stars,Coldplay,A Sky Full of Stars,Coldplay
1430,1254,Story Of My Life,One Direction,Story of My Life,One Direction
1431,386,Show Me,Kid Ink Featuring Chris Brown,Now & Forever (feat. SONPUB & 向井太一),香取慎吾
1432,2337,Bottoms Up,Brantley Gilbert,All About Us,He Is We
1433,1207,Problem,Ariana Grande Featuring Iggy Azalea,Problem,Ariana Grande
1434,2337,Boom Clap,Charli XCX,All About Us,He Is We
1435,2337,Don't Tell 'Em,Jeremih Featuring YG,All About Us,He Is We
1436,2337,Riptide,Vance Joy,All About Us,He Is We
1437,2337,Ain't It Fun,Paramore,All About Us,He Is We
1438,386,2 On,Tinashe Featuring ScHoolboy Q,Now & Forever (feat. SONPUB & 向井太一),香取慎吾
1439,2139,Black Widow,Iggy Azalea Featuring Rita Ora,Black Widow,Iggy Azalea
1440,2337,Let Her Go,Passenger,All About Us,He Is We
1441,1253,All About That Bass,Meghan Trainor,All About That Bass,Meghan Trainor
1442,2221,Cool Kids,Echosmith,Cool Kids,Echosmith
1443,2337,The Monster,Eminem Featuring Rihanna,All About Us,He Is We
1444,2337,Not A Bad Thing,Justin Timberlake,All About Us,He Is We
1445,1882,Maps,Maroon 5,Maps,Maroon 5
1446,1065,Break Free,Ariana Grande Featuring Zedd,Free! Free! Free!,竹内アンナ
1447,2337,New Flame,Chris Brown Featuring Usher & Rick Ross,All About Us,He Is We
1448,2337,Lifestyle,Rich Gang Featuring Young Thug & Rich Homie Quan,All About Us,He Is We
1449,1585,Burn,Ellie Goulding,Burn,Ellie Goulding
1450,2337,Animals,Martin Garrix,All About Us,He Is We
1451,1591,Hey Brother,Avicii,Hey Brother,Avicii
1452,2337,Partition,Beyonce,All About Us,He Is We
1453,2337,Come With Me Now,KONGOS,All About Us,He Is We
1454,2337,Wiggle,Jason Derulo Featuring Snoop Dogg,All About Us,He Is We
1455,2337,Leave The Night On,Sam Hunt,All About Us,He Is We
1456,2337,Stolen Dance,Milky Chance,All About Us,He Is We
1457,1272,Say Something,A Great Big World & Christina Aguilera,Say Something,A Great Big World
1458,1080,Royals,Lorde,Royals,Lorde
1459,1133,Drunk In Love,Beyonce Featuring Jay Z,Love It If We Made It,The 1975
1460,2337,Paranoid,Ty Dolla $ign Featuring B.o.B,All About Us,He Is We
1461,1520,Neon Lights,Demi Lovato,Can't Back Down,Demi Lovato
1462,2337,Drink To That All Night,Jerrod Niemann,All About Us,He Is We
1463,386,Get Me Some Of That,Thomas Rhett,Now & Forever (feat. SONPUB & 向井太一),香取慎吾
1464,2337,Give Me Back My Hometown,Eric Church,All About Us,He Is We
1465,2337,Rewind,Rascal Flatts,All About Us,He Is We
1466,2337,On Top Of The World,Imagine Dragons,All About Us,He Is We
1467,2337,The Worst,Jhene Aiko,All About Us,He Is We
1468,2337,Human,Christina Perri,All About Us,He Is We
1469,2337,Beat Of The Music,Brett Eldredge,All About Us,He Is We
1470,2149,La La La,Naughty Boy Featuring Sam Smith,La La La,Naughty Boy
1471,2337,Lettin' The Night Roll,Justin Moore,All About Us,He Is We
1472,2337,Trophies,Young Money Featuring Drake,All About Us,He Is We
1473,1133,Who Do You Love?,YG Featuring Drake,Love It If We Made It,The 1975
1474,2337,Play It Again,Luke Bryan,All About Us,He Is We
1475,2337,Or Nah,Ty Dolla $ign Featuring Wiz Khalifa & DJ Mustard,All About Us,He Is We
1476,1465,Me And My Broken Heart,Rixton,Me And My Broken Heart,Rixton
1477,2337,Beachin',Jake Owen,All About Us,He Is We
1478,2225,She Looks So Perfect,5 Seconds Of Summer,She Looks So Perfect,5 Seconds of Summer
1479,2337,Sing,Ed Sheeran,All About Us,He Is We
1480,2337,Cut Her Off,KCamp Featuring 2 Chainz,All About Us,He Is We
1481,2337,Girls Chase Boys,Ingrid Michaelson,All About Us,He Is We
1482,1133,Love Runs Out,OneRepublic,Love It If We Made It,The 1975
1483,2337,I Don't Dance,Lee Brice,All About Us,He Is We
1484,2337,We Dem Boyz,Wiz Khalifa,All About Us,He Is We
1485,2337,"Where It's At (Yep, Yep)",Dustin Lynch,All About Us,He Is We
1486,2337,Yeah,Joe Nichols,All About Us,He Is We
1487,1133,Love Never Felt So Good,Michael Jackson & Justin Timberlake,Love It If We Made It,The 1975
1488,2337,Work,Iggy Azalea,All About Us,He Is We
1489,2337,Drunk On A Plane,Dierks Bentley,All About Us,He Is We
1490,2337,Main Chick,Kid Ink Featuring Chris Brown,All About Us,He Is We
1491,2337,Somethin' Bad,Miranda Lambert Duet With Carrie Underwood,All About Us,He Is We
1492,2337,Bartender,Lady Antebellum,All About Us,He Is We
1493,2337,Believe Me,Lil Wayne Featuring Drake,All About Us,He Is We
1494,2337,Day Drinking,Little Big Town,All About Us,He Is We
1495,1804,Shower,Becky G,Shower,Becky G
1496,2337,Studio,ScHoolboy Q Featuring BJ The Chicago Kid,All About Us,He Is We
1497,2337,Ready Set Roll,Chase Rice,All About Us,He Is We
1498,2337,Small Town Throwdown,Brantley Gilbert Featuring Justin Moore & Thomas Rhett,All About Us,He Is We
1499,2337,Hope You Get Lonely Tonight,Cole Swindell,All About Us,He Is We
1500,1241,Uptown Funk!,Mark Ronson Featuring Bruno Mars,Uptown Funk,Mark Ronson
